,COMET (all-cause death),,,,COMET (composite outcome),,,,DIG (all-cause death),,,,DIG (composite outcome),,,
,Register,,Trial,,Register,,Trial,,Register,,Trial,,Register,,Trial,
,lowest risk decile,highest risk decile,lowest risk decile,highest risk decile,lowest risk decile,highest risk decile,lowest risk decile,highest risk decile,lowest risk decile,highest risk decile,lowest risk decile,highest risk decile,lowest risk decile,highest risk decile,lowest risk decile,highest risk decile
Age (years),49.10 (9.91),86.83 (6.33),41.34 (7.89),74.31 (6.58),55.36 (13.86),81.53 (8.13),46.37 (11.00),70.09 (7.82),48.82 (9.64),87.73 (5.58),43.50 (7.38),77.70 (5.51),66.87 (14.74),77.03 (9.89),43.50 (7.38),67.69 (9.49)
male sex (%),0.6554,0.608,0.8355,0.7815,0.7366,0.5106,0.8914,0.7318,0.6467,0.613,0.7529,0.7279,,0.5556,0.7529,0.6515
Frusemide (mg),52.16 (23.95),83.18 (48.30),7.72 (21.11),71.53 (93.41),47.62 (20.87),88.86 (48.86),5.79 (17.97),79.74 (94.22),--,--,--,--,,,,
History of diabetes (%),0.0774,0.4032,0.0724,0.4934,0.0362,0.568,0.0428,0.6192,0.0774,0.4195,0.0721,0.5309,0.0462,0.5531,0.0721,0.7324
Systolic blood pressure (mm Hg),120.61 (24.08),109.25 (18.18),128.57 (20.38),117.12 (17.92),132.73 (26.40),105.27 (16.34),137.31 (21.41),113.51 (16.41),120.37 (23.07),109.20 (20.24),125.40 (19.34),119.13 (18.84),154.63 (20.24),92.49 (9.98),125.40 (19.34),103.22 (11.82)
Heart rate (beats per minute),74.23 (13.10),74.76 (13.51),82.21 (14.06),83.57 (13.27),73.69 (12.89),74.30 (13.46),80.51 (13.70),83.59 (13.47),74.43 (13.10),74.27 (13.48),79.42 (12.99),81.46 (12.88),72.78 (13.09),74.69 (14.40),79.42 (12.99),83.00 (12.99)
Sodium (mmol/l),138.64 93.15),136.26 (4.47),140.07 (3.08),137.40 (4.94),139.84 (3.01),134.88 (4.97),141.22 (3.06),136.49 (4.92),--,--,--,--,,,,
eGFR (mL/min/1.73m2),83.38 (23.59),41.27 (15.60),90.61 (22.00),47.69 (14.76),84.97 (22.51),39.55 (15.40),93.14 (23.05),48.14 (15.52),78.07 (14.46),39.03 (13.91),76.42 (12.79),43.50 (13.32),67.16 (19.86),47.00 (17.83),76.42 (12.79),51.28 (16.59)
